[39.8 , 1685507016.7097745]
[39.8 , 1685507017.7004495]
[40.1 , 1685507018.7082253]
[41.3 , 1685507019.7134411]
[43.3 , 1685507020.7055552]
[46.3 , 1685507021.7112956]
[49.7 , 1685507022.701338]
[52.6 , 1685507023.7076695]
[56.3 , 1685507024.713701]
[59.5 , 1685507025.7057314]
[62.9 , 1685507026.7123504]
[66.0 , 1685507027.7031643]
[69.1 , 1685507028.7104263]
[71.9 , 1685507029.7005377]
[74.8 , 1685507030.70738]
[78.0 , 1685507031.7141504]
[81.4 , 1685507032.7036536]
[84.6 , 1685507033.7106595]
[87.8 , 1685507034.701004]
[90.8 , 1685507035.708686]
[94.2 , 1685507036.6999745]
[96.8 , 1685507037.7066026]
[98.8 , 1685507038.7132106]
[100.4 , 1685507039.7020268]
[101.4 , 1685507040.7085893]
[102.0 , 1685507041.7001908]
[102.2 , 1685507042.7066865]
[102.2 , 1685507043.6987953]
[101.9 , 1685507044.7051303]
[101.6 , 1685507045.711617]
[101.1 , 1685507046.7026927]
[100.7 , 1685507047.709906]
